ID,Group,Distance,Intensity,Treatment
2196,control,27,98.254,clinostat
2196,control,28,98.1587,clinostat
2196,control,29,98.0952,clinostat
2196,control,30,97.873,clinostat
2196,control,31,97.5714,clinostat
2196,control,32,97.4127,clinostat
2196,control,33,96.7778,clinostat
2196,control,34,95.8413,clinostat
2196,control,35,94.5079,clinostat
2196,control,36,92.9048,clinostat
2196,control,37,90.8889,clinostat
2196,control,38,88.4921,clinostat
2196,control,39,85.7619,clinostat
2196,control,40,83.0794,clinostat
2196,control,41,80.9048,clinostat
2196,control,42,78.9365,clinostat
2196,control,43,77.5556,clinostat
2196,control,44,76.6825,clinostat
2196,control,45,75.6984,clinostat
2196,control,46,74.2857,clinostat
2196,control,47,72.7936,clinostat
2196,control,48,70.873,clinostat
2196,control,49,68.619,clinostat
2196,control,50,65.3968,clinostat
2196,control,51,61.9206,clinostat
2196,control,52,59.1587,clinostat
2196,control,53,56.3651,clinostat
2196,control,54,53.5238,clinostat
2196,control,55,50.6508,clinostat
2196,control,56,48.1587,clinostat
2196,control,57,46,clinostat
2199,control,0,29.1538,clinostat
2199,control,1,30.2308,clinostat
2199,control,2,31.3077,clinostat
2199,control,3,32.1538,clinostat
2199,control,4,33.3846,clinostat
2199,control,5,34.8462,clinostat
2199,control,6,35.5385,clinostat
2199,control,7,36.1538,clinostat
2199,control,8,36.4615,clinostat
2199,control,9,36.8462,clinostat
2199,control,10,37.6154,clinostat
2199,control,11,39.0769,clinostat
2199,control,12,41,clinostat
2199,control,13,42.2308,clinostat
2199,control,14,43.4615,clinostat
2199,control,15,44.0769,clinostat
2199,control,16,45.6154,clinostat
2199,control,17,47.3846,clinostat
2199,control,18,49.5385,clinostat
2199,control,19,52.4615,clinostat
2199,control,20,54.8462,clinostat
2199,control,21,57.6154,clinostat
2199,control,22,61.1538,clinostat
2199,control,23,65.4615,clinostat
2199,control,24,69,clinostat
2199,control,25,72.3077,clinostat
2199,control,26,75.3077,clinostat
2199,control,27,77.6154,clinostat
2199,control,28,79.3077,clinostat
2199,control,29,81.2308,clinostat
2199,control,30,83.5385,clinostat
2199,control,31,85.4615,clinostat
2199,control,32,86.4615,clinostat
2199,control,33,87.6923,clinostat
2199,control,34,88.7692,clinostat
