ID,Treatment,distance,intensity
1568,ground,6,34.3056
1568,ground,7,34.5833
1568,ground,8,35.5556
1568,ground,9,37
1568,ground,10,38.3611
1568,ground,11,38.3333
1568,ground,12,38.6111
1568,ground,13,39.4167
1568,ground,14,39.6667
1568,ground,15,40.3056
1568,ground,16,41.5278
1568,ground,17,43.0556
1568,ground,18,44.1111
1568,ground,19,44.3889
1568,ground,20,44.5556
1568,ground,21,45.3889
1568,ground,22,46.6111
1568,ground,23,47.3333
1568,ground,24,47.4167
1568,ground,25,47.6667
1568,ground,26,47.4722
1568,ground,27,47.1667
1568,ground,28,46.9167
1568,ground,29,47.0833
1568,ground,30,47.3889
1568,ground,31,48.1111
1568,ground,32,49
1568,ground,33,50.2778
1568,ground,34,50.6944
1568,ground,35,50.8889
1568,ground,36,51.4444
1568,ground,37,52.4444
1568,ground,38,54.0556
1568,ground,39,55.25
1568,ground,40,56.1389
1568,ground,41,57.6111
1568,ground,42,59.8056
1568,ground,43,62.8333
1568,ground,44,67
1568,ground,45,72.0833
1568,ground,46,76.25
1568,ground,47,79.6111
1568,ground,48,82.3056
1568,ground,49,84.7222
1568,ground,50,86.5278
1568,ground,51,87.0556
1568,ground,52,88.0278
1568,ground,53,90.8333
1568,ground,54,93.9167
1568,ground,55,96.0278
1568,ground,56,97.0278
1568,ground,57,98.3056
1568,ground,58,100.25
1568,ground,59,102.3056
1568,ground,60,102.8611
1568,ground,61,102.9444
1568,ground,62,103.2222
1568,ground,63,103.25
1568,ground,64,103.1389
1568,ground,65,103.0833
1568,ground,66,103.2222
1568,ground,67,102.8333
1568,ground,68,102.6111
1568,ground,69,102.5556
1568,ground,70,102.4167
1568,ground,71,102.4722
1568,ground,72,101.9167
1568,ground,73,101.25
1568,ground,74,100.9722
1568,ground,75,100.2222
1568,ground,76,99.5278
1568,ground,77,98.8611
1568,ground,78,98.4167
1568,ground,79,97.9722
1568,ground,80,97.6944
1568,ground,81,98.0833
1568,ground,82,98.5556
1568,ground,83,98.8889
1568,ground,84,98.6389
1568,ground,85,98.2222
1568,ground,86,97.5556
1568,ground,87,96.8889
1568,ground,88,95.8333
1568,ground,89,94.5278
1568,ground,90,92.3611
1568,ground,91,88.3611
1568,ground,92,82.5
1568,ground,93,75.8333
1568,ground,94,70.1389
1568,ground,95,65.75
1568,ground,96,62.5
1568,ground,97,60.3611
1568,ground,98,58.4722
1568,ground,99,55.8333
1568,ground,100,52.9722
1568,ground,101,52.8889
1568,ground,102,53.0556
