ID,Group,Distance,Intensity
1610,control,35,97.4815
1610,control,36,95.5556
1610,control,37,93.9259
1610,control,38,90.8704
1610,control,39,86.8704
1610,control,40,83.5926
1610,control,41,80.5556
1610,control,42,78.2778
1610,control,43,76.5
1610,control,44,73.6852
1610,control,45,68.4444
1610,control,46,62.8148
1610,control,47,57.2407
1610,control,48,50.5741
1610,control,49,45.3889
1611,control,0,39.8846
1611,control,1,43.25
1611,control,2,48.75
1611,control,3,54.5385
1611,control,4,60.1154
1611,control,5,66.1346
1611,control,6,71.8269
1611,control,7,76.3846
1611,control,8,81.5
1611,control,9,87.4038
1611,control,10,91.4038
1611,control,11,93.1154
1611,control,12,95.9423
1611,control,13,99.25
1611,control,14,101.6346
1611,control,15,104.5577
1611,control,16,107
1611,control,17,107.6731
1611,control,18,107.9423
1611,control,19,107.4038
1611,control,20,107.6731
1611,control,21,107.5962
1611,control,22,106.4231
1611,control,23,105.7692
1611,control,24,105.3846
1611,control,25,104.8846
1611,control,26,102.6731
1611,control,27,98.9038
1611,control,28,96.3269
1611,control,29,91.5385
1611,control,30,84.4231
1611,control,31,77.0769
1611,control,32,70.3462
1611,control,33,63.8269
1611,control,34,57.9038
1611,control,35,52.5769
1611,control,36,47.0769
1611,control,37,43.0769
1611,control,38,40.2308
1611,control,39,37.9231
1613,control,0,45.5254
1613,control,1,49.1695
1613,control,2,53.7627
1613,control,3,59.7458
1613,control,4,64.9153
1613,control,5,67.983
1613,control,6,70.6271
1613,control,7,72.5932
1613,control,8,77.6949
1613,control,9,82.5085
1613,control,10,84.2881
1613,control,11,87.6441
1613,control,12,92.4915
1613,control,13,96.9153
1613,control,14,100.5424
1613,control,15,102.983
1613,control,16,104.8814
1613,control,17,105.8136
1613,control,18,105.678
1613,control,19,105.9492
1613,control,20,106.0339
1613,control,21,105.8983
1613,control,22,105.8475
1613,control,23,105.661
1613,control,24,105.5085
1613,control,25,105.4068
1613,control,26,105.5763
1613,control,27,105.5593
1613,control,28,106.5085
1613,control,29,107.4068
1613,control,30,107.678
1613,control,31,107.1864
1613,control,32,105.4915
1613,control,33,103.7627
1613,control,34,102.2203
1613,control,35,100.4746
1613,control,36,98.6949
1613,control,37,96.7966
1613,control,38,94.1864
1613,control,39,91.5424
1613,control,40,89.4746
1613,control,41,86.7119
1613,control,42,82.4068
1613,control,43,76.017
1613,control,44,69.3051
1613,control,45,64.0847
1613,control,46,60.2034
1613,control,47,57.3559
1613,control,48,54.5932
1613,control,49,50.7966
1614,control,0,56.8676
1614,control,1,60.4853
1614,control,2,64.7353
1614,control,3,67.7059
1614,control,4,68.7353
1614,control,5,73.2353
1614,control,6,79.4412
1614,control,7,85.1912
1614,control,8,89.7794
1614,control,9,93.7941
1614,control,10,98.3676
1614,control,11,101.5
1614,control,12,103.1176
1614,control,13,103.7941
1614,control,14,103.8088
1614,control,15,103.1912
1614,control,16,102.7794
1614,control,17,102.3676
1614,control,18,102.5588
1614,control,19,103.1471
1614,control,20,104.1324
1614,control,21,105.6471
1614,control,22,107.6471
1614,control,23,110.4559
1614,control,24,112.5441
1614,control,25,113.5
1614,control,26,114.0147
1614,control,27,114.4412
1614,control,28,114.3235
1614,control,29,113.4265
1614,control,30,112.4412
1614,control,31,111.1618
1614,control,32,109.6324
1614,control,33,108.5294
1614,control,34,107.7794
1614,control,35,107.1618
1614,control,36,106.25
1614,control,37,105.3529
1614,control,38,104.5735
1614,control,39,103.3088
1614,control,40,102.0735
1614,control,41,100.8382
1614,control,42,99.6324
1614,control,43,97.9265
1614,control,44,95.7353
1614,control,45,93.1324
1614,control,46,90.9706
1614,control,47,89.0147
1614,control,48,86.4706
1614,control,49,83.3824
1614,control,50,79.6029
1614,control,51,76.0441
1614,control,52,72.9412
1614,control,53,70.1324
1614,control,54,66.6471
1614,control,55,62.7941
1614,control,56,58.7059
1615,control,0,60.2931
1615,control,1,64.3448
1615,control,2,68.5862
1615,control,3,71.7069
1615,control,4,74.2931
1615,control,5,77.4483
1615,control,6,81.6552
1615,control,7,85.2069
1615,control,8,88.4828
1615,control,9,92.0862
1615,control,10,93.9483
1615,control,11,94.8966
1615,control,12,96.5345
1615,control,13,98.8103
1615,control,14,100.8448
1615,control,15,102.7241
1615,control,16,104.3103
1615,control,17,105.6207
1615,control,18,106.7414
1615,control,19,107.2241
1615,control,20,107.0172
1615,control,21,106.8966
1615,control,22,106.3793
1615,control,23,106.3966
1615,control,24,106.7931
1615,control,25,106.6724
1615,control,26,106.9655
1615,control,27,106.8276
1615,control,28,106
1615,control,29,104.7414
1615,control,30,103.431
1615,control,31,102.5862
1615,control,32,101.1724
1615,control,33,98.4138
1615,control,34,95.2414
1615,control,35,93.3621
1615,control,36,92.569
1615,control,37,91.6379
1615,control,38,89.9483
