ID,group,distance,intensity
1583,control,59,108.0833
1583,control,60,106.9167
1583,control,61,105.5417
1583,control,62,105.5833
1583,control,63,104.7917
1583,control,64,103.2083
1583,control,65,102.0417
1583,control,66,101
1583,control,67,100.0833
1583,control,68,99.1667
1583,control,69,98.125
1583,control,70,97.375
1583,control,71,95.7917
1583,control,72,94.2083
1583,control,73,93.2917
1583,control,74,93.125
1583,control,75,92.2917
1583,control,76,89.7917
1583,control,77,86
1583,control,78,82.625
1583,control,79,80.5
1583,control,80,79
1583,control,81,77.2917
1583,control,82,75.4167
1583,control,83,73.6667
1583,control,84,70.875
1583,control,85,67.125
1583,control,86,64.875
1583,control,87,63.7917
1583,control,88,62.7083
1583,control,89,62.1667
1583,control,90,62
1583,control,91,61.2917
1583,control,92,60.2917
1583,control,93,59.2083
1583,control,94,58.4583
1583,control,95,57.9583
1583,control,96,57.75
1583,control,97,57.4167
1583,control,98,56.5417
1583,control,99,55.5417
1583,control,100,54.0833
1583,control,101,52.2917
1583,control,102,50.2083
1583,control,103,46.625
1583,control,104,43.4583
1583,control,105,42.3333
1583,control,106,43.0833
1583,control,107,43.6667
1583,control,108,43.2917
1583,control,109,41.375
1583,control,110,37.75
1583,control,111,33.7917
1583,control,112,32.2083
1583,control,113,32.4583
1583,control,114,33.0833
1583,control,115,33.1667
1583,control,116,33.4167
1583,control,117,34
1583,control,118,35.1667
1583,control,119,35.9167
1583,control,120,35.25
1583,control,121,33.75
1583,control,122,32.375
1583,control,123,32.0417
1585,control,0,22.6786
1585,control,1,23.6071
1585,control,2,25.0357
1585,control,3,26.4286
1585,control,4,27.3214
1585,control,5,27.2857
1585,control,6,26.9643
1585,control,7,27
1585,control,8,27.8929
1585,control,9,28.4643
1585,control,10,28.9286
1585,control,11,28.8929
1585,control,12,29.4643
1585,control,13,30.6429
1585,control,14,31.6429
1585,control,15,32.6071
1585,control,16,33.6071
1585,control,17,34.5714
1585,control,18,35.2857
1585,control,19,36.3214
1585,control,20,37.6786
1585,control,21,38.4286
1585,control,22,38.5
1585,control,23,39.8214
1585,control,24,41.8214
1585,control,25,43.2857
1585,control,26,44.2143
1585,control,27,45.0714
1585,control,28,45.9643
1585,control,29,47.5714
1585,control,30,48.75
1585,control,31,49.5357
1585,control,32,50.3571
1585,control,33,51.8929
1585,control,34,53.9286
1585,control,35,55.8214
1585,control,36,58.1429
1585,control,37,59.4643
1585,control,38,59.6429
1585,control,39,60.1071
1585,control,40,61.3571
1585,control,41,63.6071
1585,control,42,65.6071
1585,control,43,67.0357
1585,control,44,68.3214
1585,control,45,69.2857
1585,control,46,69.6429
1585,control,47,69.9286
1585,control,48,70.8214
1585,control,49,72.3571
1585,control,50,74.25
1585,control,51,75.6429
1585,control,52,77.0357
1585,control,53,78.5357
1585,control,54,80.1429
1585,control,55,82.2143
1585,control,56,84.3571
1585,control,57,86.9643
1585,control,58,88.8571
1585,control,59,90.25
1585,control,60,91.1071
1585,control,61,91.8929
1585,control,62,92.8571
1585,control,63,93.7857
1585,control,64,94.6071
1585,control,65,95.6786
1585,control,66,96.75
1585,control,67,98
1585,control,68,99.0714
1585,control,69,100.5
1585,control,70,101.6429
1585,control,71,102.2857
1585,control,72,102.5
1585,control,73,102.1786
1585,control,74,101.7143
1585,control,75,101.6429
1585,control,76,101.2857
1585,control,77,100.2143
1585,control,78,98.8929
1585,control,79,97.9286
1585,control,80,96.9286
1585,control,81,96
1585,control,82,94.6071
1585,control,83,92.75
1585,control,84,91.1429
1585,control,85,89.8214
1585,control,86,89.1429
1585,control,87,88.9286
1585,control,88,88.9286
1585,control,89,88.2143
1585,control,90,86.6429
1585,control,91,84.9643
1585,control,92,83.3929
1585,control,93,83.0357
1585,control,94,83.8214
1585,control,95,83.2857
1585,control,96,81.0714
1585,control,97,78.9643
1585,control,98,77.0357
1585,control,99,74.8929
1585,control,100,72.7143
1585,control,101,70.8571
1585,control,102,69.4286
1585,control,103,68.6071
1585,control,104,67.7857
1585,control,105,66.75
1585,control,106,64.8571
1585,control,107,62.5714
1585,control,108,61.1071
1585,control,109,60
1585,control,110,58.8929
1585,control,111,57.4286
1585,control,112,54.7143
1585,control,113,51.9286
1585,control,114,50.5
1585,control,115,49.75
1585,control,116,48.9286
1585,control,117,47.75
1585,control,118,46.3929
1585,control,119,44.7857
1585,control,120,42.6786
1585,control,121,40.2857
1585,control,122,38.4643
1585,control,123,37.5
1585,control,124,36.4286
1585,control,125,35.0714
1585,control,126,34.1429
1585,control,127,33.9643
1585,control,128,33.7857
1585,control,129,32.7857
1585,control,130,30.9286
1585,control,131,28.5714
1585,control,132,27.5
1585,control,133,27.1429
1585,control,134,27
1585,control,135,26.8571
1585,control,136,26.6429
1585,control,137,26.0357
1585,control,138,25.0714
1585,control,139,24.1786
1586,control,0,26.5357
1586,control,1,26.8929
1586,control,2,27.1786
1586,control,3,27.6071
1586,control,4,28.6786
1586,control,5,30.0714
1586,control,6,30.4286
1586,control,7,30
1586,control,8,30.5714
1586,control,9,31.75
1586,control,10,33.0357
1586,control,11,34.0357
1586,control,12,33.9286
1586,control,13,33.3571
1586,control,14,33.6786
1586,control,15,34.3571
1586,control,16,35.0357
1586,control,17,35.3571
1586,control,18,35.8214
1586,control,19,36.9643
1586,control,20,37.3929
1586,control,21,36.3929
1586,control,22,35.4286
1586,control,23,35.8571
1586,control,24,36.8571
1586,control,25,37.9286
1586,control,26,39.1071
1586,control,27,40.1786
1586,control,28,41
1586,control,29,41.8929
1586,control,30,43.3571
1586,control,31,44.4286
1586,control,32,45.1786
1586,control,33,45.6071
1586,control,34,46.1071
1586,control,35,46.6429
1586,control,36,46.7143
1586,control,37,47.1429
1586,control,38,48.1786
1586,control,39,49.75
1586,control,40,52.25
1586,control,41,54.8214
1586,control,42,58.0357
1586,control,43,60.4643
1586,control,44,62.0357
1586,control,45,64.4643
1586,control,46,68.1429
1586,control,47,70.8214
1586,control,48,72.5714
1586,control,49,74.8571
1586,control,50,77.2857
1586,control,51,79.6071
1586,control,52,81.3214
1586,control,53,83.2857
1586,control,54,84.6071
1586,control,55,85.7143
1586,control,56,86.9643
1586,control,57,89.3214
1586,control,58,91.9286
1586,control,59,95.3929
1586,control,60,98.4286
1586,control,61,100.8929
1586,control,62,102.2857
1586,control,63,102.8214
1586,control,64,103.3214
1586,control,65,103.6071
1586,control,66,103.8929
1586,control,67,104
1586,control,68,103.9643
1586,control,69,104.1071
